date,market,stock_id,name,trust_net
2026-09-23,TPEX,5347,世界,
2026-09-23,TPEX,3374,精材,
2026-09-23,TPEX,6147,頎邦,
2026-09-23,TPEX,3105,穩懋,
2026-09-23,TPEX,3211,順達,
2026-09-23,TPEX,5536,聖暉*,
2026-09-23,TPEX,7856,漢測,
2026-09-23,TPEX,6026,福邦證,
2026-09-23,TPEX,3324,雙鴻,
2026-09-23,TPEX,8299,群聯,
2026-09-23,TPEX,3529,力旺,
2026-09-23,TPEX,5904,寶雅*,
2026-09-23,TPEX,3078,僑威,
2026-09-23,TPEX,5439,高技,
2026-09-23,TPEX,4105,東洋,
2026-09-23,TPEX,3081,聯亞,
2026-09-23,TPEX,6274,台燿,
2026-09-23,TPEX,6138,茂達,
2026-09-23,TPEX,6121,新普,
2026-09-23,TPEX,8938,明安,
2026-09-23,TPEX,3293,鈊象,
2026-09-23,TPEX,6122,擎邦,
2026-09-23,TPEX,8924,大田,
2026-09-23,TPEX,5287,數字,
2026-09-23,TPEX,5274,信驊,
2026-09-23,TPEX,6703,軒郁,
2026-09-23,TPEX,2718,全心投控,
2026-09-23,TPEX,4420,光明,
2026-09-23,TPEX,6577,勁豐,
2026-09-23,TPEX,5209,新鼎,
